"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT06","WT08","WT09"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-04","0.00",,,,"46","36",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-05","0.00",,,,"50","31",,,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-06","0.00",,,,"60","27",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-07","0.00",,,,"50","33",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-08","0.01",,,,"39","28","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-09","0.00",,,,"53","29",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-10","0.01",,,,"42","35","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-11","0.00",,,,"43","27",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-12","0.00",,,,"47","26",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-13","0.00",,,,"58","24",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-14","0.19",,,,"58","46","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-15","0.00",,,,"68","44","    1","    1",,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-16","0.00",,,,"63","37",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-17","0.88",,,,"62","51","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-18","1.36",,,,"58","52","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-19","0.04",,,,"74","53","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-20","0.00",,,,"73","48",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-21","0.00",,,,"69","48",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-22","0.00",,,,"77","50",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-23","0.00",,,,"74","51","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-24","0.09",,,,"76","55","    1",,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-25","0.00","0.0","0.0",,"87","54","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-26","0.78",,,,"91","60","    1",,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-27","0.07",,,,"90","69",,,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-28","0.65",,,,"78","63","    1",,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-29","0.09",,,,"70","53","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-30","0.01",,,,"59","45",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-05-31","0.00",,,,"65","35",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-01","0.03",,,,"76","44",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-02","0.00",,,,"91","62",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-03","0.00",,,,"84","59",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-04","0.00",,,,"77","53",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-05","0.03",,,,"74","53",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-06","0.00",,,,"65","52","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-07","0.00",,,,"69","43","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-08","0.00",,,,"91","53",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-09","0.13",,,,"95","58",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-10","1.38",,,,"81","54","    1",,"    1",,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-11","0.04",,,,"74","48","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-12","0.00",,,,"58","45",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-13","0.00",,,,"65","41",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-14","0.00",,,,"71","40",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-15","0.00",,,,"78","43",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-16","0.00",,,,"84","47",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-17","0.00",,,,"84","56",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-18","0.00",,,,"88","55",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-19","0.00",,,,"91","59",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-20","0.17",,,,"89","60","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-21","0.01",,,,"79","62","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-22","0.34",,,,"75","58","    1",,"    1",,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-23","1.44",,,,"67","57","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-24","0.00",,,,"74","55",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-25","0.00",,,,"81","54",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-26","0.00",,,,"86","62",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-27","0.00",,,,"81","60",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-28","0.00",,,,"79","55","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-29","0.00",,,,"92","63",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-06-30","0.00",,,,"93","68",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-01","0.00",,,,"87","61",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-02","0.00",,,,"92","61",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-03","0.00",,,,"88","65","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-04","0.00",,,,"90","64","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-05","0.00",,,,"92","65",,,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-06","0.00",,,,"95","64",,,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-07","0.00",,,,"91","68",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-08","0.00",,,,"92","64",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-09","0.21",,,,"94","68","    1",,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-10","0.24",,,,"78","67","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-11","0.00",,,,"84","60",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-12","0.00",,,,"74","63",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-13","0.00",,,,"80","58",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-14","0.00",,,,"84","55",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-15","1.70",,,,"81","65","    1",,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-16","0.01",,,,"80","64",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-17","0.00",,,,"89","61",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-18","1.09",,,,"91","70","    1",,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-19","1.52","0.0","0.0",,"84","68","    1",,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-20","0.00",,,,"73","56","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-21","0.00",,,,"75","52",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-22","0.21",,,,"83","64","    1",,,,,"    1",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-07-23","0.00",,,,"79","64",,,,,,,
